Day,Topic,Hands-on Exercise,Python DSA Challenge,CKA Prep Task,Free Resources
1,Introduction to DevOps and CI/CD basics,Set up GitHub repo and create a basic CI pipeline using GitHub Actions (build and test on commit),Python lists basics (basic list operations),,https://docs.github.com/en/actions; https://realpython.com/python-lists-tuples/
2,Version Control with Git (branching, merging),Fork, clone, commit, merge branches, resolve conflicts,,https://www.freecodecamp.org/news/git-and-github-for-beginners/
3,Docker Fundamentals,Build and run simple Docker containers, understand images, containers, and Docker Hub,,https://docs.docker.com/get-started/
4,Continuous Integration with Jenkins,Install Jenkins on local VM or cloud, create pipeline jobs building a sample app,,https://www.jenkins.io/doc/tutorials/build-a-java-app-with-maven/
5,Infrastructure as Code with Terraform Introduction,Write Terraform config to provision a simple VM on AWS Free Tier,,https://learn.hashicorp.com/tutorials/terraform/aws-build
6,Basic Linux Command Line for DevOps,Practice file operations, permissions, process management,,https://training.linuxfoundation.org/training/introduction-to-linux/
7,Python DSA Challenge: Implement Stack using Python list (push, pop, peek),,Implement Stack using Python list,,https://www.programiz.com/dsa/stack
8,Container Orchestration with Kubernetes Introduction,Set up Minikube/local cluster, deploy a simple app,,Setup Minikube and deploy initial app,https://kodekloud.com/courses/cka-certification-course-certified-kubernetes-administrator
9,Kubernetes Core Concepts – Pods and Services,Create pods and expose services, experiment with labels and selectors,,Pods & Services labs from KodeKloud,https://kubernetes.io/docs/concepts/workloads/pods/
10,CI/CD Advanced – Testing Automation with Jenkins Pipelines,Implement automated testing stages in Jenkins pipeline,,,
11,Configuration Management with Ansible Basics,Install Ansible, write playbooks to automate package installs,,https://www.ansible.com/resources/get-started
12,Monitoring Fundamentals – Prometheus and Grafana Setup,Deploy Prometheus and Grafana in Kubernetes, monitor app metrics,,https://prometheus.io/docs/prometheus/latest/getting_started/
13,Cloud Services Overview (AWS and GCP Free Tiers),Create accounts, explore console, launch basic compute instances,,https://aws.amazon.com/free/; https://cloud.google.com/free
14,Python DSA Challenge: Implement Queue in Python with two stacks,,Implement Queue using two stacks,,https://leetcode.com/problems/implement-queue-using-stacks/
15,Secret Management and ConfigMaps in Kubernetes,Create and use ConfigMaps and Secrets in deployments,,Secrets and ConfigMaps labs from KodeKloud,https://kubernetes.io/docs/concepts/configuration/secret/
16,Helm Package Manager Basics,Install Helm, deploy an app with Helm charts, customize values,,https://helm.sh/docs/intro/quickstart/
17,Automating Cloud Infrastructure Updates with Terraform,Modify infrastructure, implement Terraform state management,,https://learn.hashicorp.com/tutorials/terraform/state
18,Logging and Troubleshooting in Kubernetes,Use kubectl logs, describe, exec to troubleshoot pods,,Troubleshooting labs from KodeKloud,https://kubernetes.io/docs/tasks/debug/
19,CI/CD with GitLab Pipelines,Configure GitLab runner, build CI/CD workflows for a repo,,https://docs.gitlab.com/ee/ci/
20,Python DSA Challenge: Recursive algorithms basics (factorial, Fibonacci),,Recursive algorithms basics,,https://realpython.com/python-thinking-recursively/
21,Kubernetes Deployments & ReplicaSets,Deploy and scale applications with Deployments,,KodeKloud labs on Deployments,https://kubernetes.io/docs/concepts/workloads/controllers/deployment/
22,Kubernetes StatefulSets,Deploy a Stateful app (e.g., MySQL) in Kubernetes,,StatefulSets labs from KodeKloud,https://kubernetes.io/docs/concepts/workloads/controllers/statefulset/
23,Advanced Docker Networking,Create custom Docker networks, connect multi-container apps,,,https://docs.docker.com/network/
24,Python DSA Challenge: Binary Search,,Implement Binary Search in Python,,https://leetcode.com/problems/binary-search/
25,Kubernetes DaemonSets,Deploy logging agents with DaemonSets,,DaemonSets labs from KodeKloud,https://kubernetes.io/docs/concepts/workloads/controllers/daemonset/
26,Kubernetes Jobs and CronJobs,Schedule jobs with Kubernetes CronJobs,,Jobs & CronJobs labs from KodeKloud,https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/
27,AWS IAM for DevOps,Create users, groups, and policies in AWS IAM,,,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html
28,Advanced CI/CD – Multi-branch Pipelines,Set up branch-based pipeline triggers in Jenkins or GitLab,,,https://www.jenkins.io/doc/book/pipeline/multibranch/
29,Python DSA Challenge: QuickSort,,Implement QuickSort in Python,,https://www.geeksforgeeks.org/quick-sort/
30,Kubernetes Networking – Services Deep Dive,Explore ClusterIP, NodePort, LoadBalancer services,,Network services labs from KodeKloud,https://kubernetes.io/docs/concepts/services-networking/service/
31,Kubernetes Network Policies,Create and apply NetworkPolicy to isolate pods,,Network Policy labs from KodeKloud,https://kubernetes.io/docs/concepts/services-networking/network-policies/
32,Storage in Kubernetes – Persistent Volumes,Create PVs and PVCs, mount them in pods,,Storage labs from KodeKloud,https://kubernetes.io/docs/concepts/storage/persistent-volumes/
33,Kubernetes Storage – Stateful Applications with PVCs,Deploy MySQL or PostgreSQL with PVCs,,CKA Storage scenarios practice,https://kubernetes.io/docs/tasks/run-application/run-single-instance-stateful-application/
34,Python DSA Challenge: Merge Sort,,Implement Merge Sort in Python,,https://www.geeksforgeeks.org/merge-sort/
35,Kubernetes Ingress Basics,Deploy NGINX ingress controller and configure ingress resources,,Ingress labs from KodeKloud,https://kubernetes.io/docs/concepts/services-networking/ingress/
36,Terraform VPC Deployment,Use Terraform to create a custom VPC in AWS,,,
37,Kubernetes RBAC Basics,Create roles, rolebindings, and test permissions,,Security labs from KodeKloud,https://kubernetes.io/docs/reference/access-authn-authz/rbac/
38,Ansible Advanced Playbooks,Use conditionals, loops, handlers in Ansible,,,
39,Python DSA Challenge: Hash Map Implementation,,Implement basic hash table in Python,,https://realpython.com/python-hash-table/
40,Kubernetes Service Accounts,Create custom service accounts for pods,,CKA security scenario practice,https://kubernetes.io/docs/tasks/configure-pod-container/configure-service-account/
41,Advanced Helm – Custom Charts,Build your own Helm Chart and package it,,,
42,Docker Security Scanning,Scan images with Trivy and Docker scan,,,
43,Kubernetes Secrets Management with Vault,Integrate HashiCorp Vault with Kubernetes,,,
